symbol,base_asset,quote_asset
HBARUSDT,HBAR,USDT
HFTUSDT,HFT,USDT
HIFIUSDT,HIFI,USDT
HIGHUSDT,HIGH,USDT
HIPPOUSDT,HIPPO,USDT
HMSTRUSDT,HMSTR,USDT
HOOKUSDT,HOOK,USDT
HOTUSDT,HOT,USDT
ICXUSDT,ICX,USDT
IDUSDT,ID,USDT
ILVUSDT,ILV,USDT
IMXUSDT,IMX,USDT
INJUSDT,INJ,USDT
IOSTUSDT,IOST,USDT
IOTAUSDT,IOTA,USDT
IOTXUSDT,IOTX,USDT
IOUSDT,IO,USDT
JASMYUSDT,JASMY,USDT
JOEUSDT,JOE,USDT
JTOUSDT,JTO,USDT
JUPUSDT,JUP,USDT
KASUSDT,KAS,USDT
KAVAUSDT,KAVA,USDT
KDAUSDT,KDA,USDT
KEYUSDT,KEY,USDT
KNCUSDT,KNC,USDT
KSMUSDT,KSM,USDT
LDOUSDT,LDO,USDT
LEVERUSDT,LEVER,USDT
LINAUSDT,LINA,USDT
LINKUSDT,LINK,USDT
LISTAUSDT,LISTA,USDT
LITUSDT,LIT,USDT
LOKAUSDT,LOKA,USDT
LOOMUSDT,LOOM,USDT
LPTUSDT,LPT,USDT
LQTYUSDT,LQTY,USDT
LRCUSDT,LRC,USDT
LSKUSDT,LSK,USDT
LTCUSDT,LTC,USDT
LUNA2USDT,LUNA2,USDT
MAGICUSDT,MAGIC,USDT
MANAUSDT,MANA,USDT
MANTAUSDT,MANTA,USDT
MASKUSDT,MASK,USDT
MAVIAUSDT,MAVIA,USDT
MAVUSDT,MAV,USDT
MBOXUSDT,MBOX,USDT
MEMEUSDT,MEME,USDT
METISUSDT,METIS,USDT
MEWUSDT,MEW,USDT
MINAUSDT,MINA,USDT
MKRUSDT,MKR,USDT
MOODENGUSDT,MOODENG,USDT
MOVRUSDT,MOVR,USDT
MTLUSDT,MTL,USDT
MYROUSDT,MYRO,USDT
NEARUSDT,NEAR,USDT
NEIROETHUSDT,NEIROETH,USDT
NEIROUSDT,NEIRO,USDT
NEOUSDT,NEO,USDT
NFPUSDT,NFP,USDT
NKNUSDT,NKN,USDT
NMRUSDT,NMR,USDT
NOTUSDT,NOT,USDT
NTRNUSDT,NTRN,USDT
NULSUSDT,NULS,USDT
OGNUSDT,OGN,USDT
OMGUSDT,OMG,USDT
OMNIUSDT,OMNI,USDT
OMUSDT,OM,USDT
ONDOUSDT,ONDO,USDT
ONEUSDT,ONE,USDT
ONGUSDT,ONG,USDT
ONTUSDT,ONT,USDT
OPUSDT,OP,USDT
ORBSUSDT,ORBS,USDT
ORDIUSDT,ORDI,USDT
OXTUSDT,OXT,USDT
PENDLEUSDT,PENDLE,USDT
PEOPLEUSDT,PEOPLE,USDT
PERPUSDT,PERP,USDT
PHBUSDT,PHB,USDT
PIXELUSDT,PIXEL,USDT
PNUTUSDT,PNUT,USDT
POLUSDT,POL,USDT
POLYXUSDT,POLYX,USDT
PONKEUSDT,PONKE,USDT
POPCATUSDT,POPCAT,USDT
PORTALUSDT,PORTAL,USDT
POWRUSDT,POWR,USDT
PYTHUSDT,PYTH,USDT
QNTUSDT,QNT,USDT
QTUMUSDT,QTUM,USDT
QUICKUSDT,QUICK,USDT
RAREUSDT,RARE,USDT
RDNTUSDT,RDNT,USDT
REEFUSDT,REEF,USDT
REIUSDT,REI,USDT
RENDERUSDT,RENDER,USDT
RENUSDT,REN,USDT
REZUSDT,REZ,USDT
RIFUSDT,RIF,USDT
RLCUSDT,RLC,USDT
RONINUSDT,RONIN,USDT
ROSEUSDT,ROSE,USDT
RPLUSDT,RPL,USDT
RSRUSDT,RSR,USDT
RUNEUSDT,RUNE,USDT
RVNUSDT,RVN,USDT
SAFEUSDT,SAFE,USDT
SAGAUSDT,SAGA,USDT
SANDUSDT,SAND,USDT
SANTOSUSDT,SANTOS,USDT
SCRTUSDT,SCRT,USDT
SCRUSDT,SCR,USDT
SEIUSDT,SEI,USDT
SFPUSDT,SFP,USDT
SKLUSDT,SKL,USDT
SLERFUSDT,SLERF,USDT
SNXUSDT,SNX,USDT
SOLUSDT,SOL,USDT
SPELLUSDT,SPELL,USDT
SSVUSDT,SSV,USDT
STEEMUSDT,STEEM,USDT
STGUSDT,STG,USDT
STMXUSDT,STMX,USDT
STORJUSDT,STORJ,USDT
STRKUSDT,STRK,USDT
STXUSDT,STX,USDT
SUIUSDT,SUI,USDT
SUNUSDT,SUN,USDT
SUPERUSDT,SUPER,USDT
SUSHIUSDT,SUSHI,USDT
SWELLUSDT,SWELL,USDT
SXPUSDT,SXP,USDT
SYNUSDT,SYN,USDT
SYSUSDT,SYS,USDT
TAOUSDT,TAO,USDT
THETAUSDT,THETA,USDT
TIAUSDT,TIA,USDT
TNSRUSDT,TNSR,USDT
TOKENUSDT,TOKEN,USDT
TONUSDT,TON,USDT
TRBUSDT,TRB,USDT
TROYUSDT,TROY,USDT
TRUUSDT,TRU,USDT
TRXUSDT,TRX,USDT
TURBOUSDT,TURBO,USDT
TUSDT,T,USDT
TWTUSDT,TWT,USDT
UMAUSDT,UMA,USDT
UNIUSDT,UNI,USDT
USDCUSDT,USDC,USDT
USTCUSDT,USTC,USDT
UXLINKUSDT,UXLINK,USDT
VANRYUSDT,VANRY,USDT
VETUSDT,VET,USDT
VIDTUSDT,VIDT,USDT
VOXELUSDT,VOXEL,USDT
WAXPUSDT,WAXP,USDT
WIFUSDT,WIF,USDT
WLDUSDT,WLD,USDT
WOOUSDT,WOO,USDT
WUSDT,W,USDT
XAIUSDT,XAI,USDT
XEMUSDT,XEM,USDT
XLMUSDT,XLM,USDT
XMRUSDT,XMR,USDT
XRPUSDT,XRP,USDT
XTZUSDT,XTZ,USDT
XVGUSDT,XVG,USDT
XVSUSDT,XVS,USDT
YFIUSDT,YFI,USDT
YGGUSDT,YGG,USDT
ZECUSDT,ZEC,USDT
ZENUSDT,ZEN,USDT
ZETAUSDT,ZETA,USDT
ZILUSDT,ZIL,USDT
ZKUSDT,ZK,USDT
ZROUSDT,ZRO,USDT
ZRXUSDT,ZRX,USDT
